bed,bath,cube,home,price,area,address
1 bed,1 bath,39m 2,Studio,1400,D07 Y2H2," St Attracta road, Dublin 7, Cabra,   Dublin 7, D07 Y2H2"
2 beds,2 baths,86m 2,Apartment,2400,D15K2CW," 24 the waxworks, Ashtown,   Dublin 15, D15K2CW"
1 bed,,,Studio,1200,D15 C1HD," Ballentree Villas, 6, Tyrrelstown,   Dublin 15, D15 C1HD"
2 beds,1 bath,,Semi-Detached,950,Dublin 24," Belfry Citywest, Aylesbury,   Dublin 24"
2 beds,2 baths,,Apartment,3500,Dublin 18," Hollybrook, Foxrock, Dublin 18"
2 beds,1 bath,85m 2,Apartment,2500,Dublin 4," Apt 37, Dock Mill, Barrow St, Ringsend, Dublin 4"
3 beds,3 baths,,Apartment,2180,Dublin 15," Ongar House, Ongar, Dublin 15"
2 beds,2 baths,877m 2,Apartment,2700,Dublin 6W," Saint Pancras house,Mount Tallant Avenue, Terenure,   Dublin 6W"
2 beds,2 baths,,Apartment,1900,Dublin 16," Ballintyre Square , Ballinteer, Dublin 16"
3 beds,1 bath,,Terraced House,2200,Dublin 22," Cherrywood Park, Clondalkin, Dublin 22"
2 beds,2 baths,80m 2,Apartment,2200,D18 Y535," 605 Beacon One. Beacon court, Sandyford, Dublin 18, Sandyford,   Dublin 18, D18 Y535"
1 bed,1 bath,32ft 2,Apartment,1200,D07V6V9," 345 Navan Road, Dublin, Navan Road,   Dublin 7, D07V6V9 "
2 beds,1 bath,,House,2950,Dublin 8," Guinness Cottages, Rialto, Dublin 8"
2 beds,1 bath,,Apartment,2595,Dublin," 6 Tivoli Terrace, Dun Laoghaire, Dublin"
1 bed,1 bath,,Apartment,1530,Dublin 1," Ivy Exchange, North City Centre, Dublin 1"
5 beds,4 baths,436m 2,Semi-Detached,15000,County Dublin,"  Dunamara, Strand Road, Killiney, County Dublin"
1 bed,1 bath,,Apartment,292,Dublin," Platinum Ensuite with Disability Access, Beckett House, Gardiner Street, Dublin 1, Dublin"
1 bed,1 bath,,Apartment,263,Dublin," Silver Ensuite at Beckett House, Gardiner Street, Dublin 1, Dublin"
1 bed,1 bath,,Apartment,251,Dublin," Bronze Ensuite at Beckett House, Gardiner St, Dublin 1, Dublin"
3 beds,2 baths,,House,4000,County Dublin," Pembroke Lower, 7 Mounttown Road Lower, Monkstown, Monkstown, County Dublin"
3 beds,1 bath,,Terraced House,2900,Dublin 6W," Fergus Road, Terenure, Dublin 6W"
4 beds,3 baths,174m 2,Detached,3700,County Dublin," 26 Holly Park Avenue, Blackrock, County Dublin"
