bed,bath,cube,home,price,area,address
3 beds,2 baths,98.8m 2,Semi-Detached House,375000,D13 E6C5," 7 Templeview Place,Clarehall,Dublin 13,D13 E6C5"
2 beds,1 bath,,Terraced House,324950,Dublin 3," 21 Ossory Road, North Strand, Dublin 3"
3 beds,2 baths,150m 2,Terraced House,775000,Dublin 6W," Aideen Place, Kimmage, Dublin 6W"
1 bed,1 bath,,Apartment,POA,," 1 Bedroom Apartment -The Pinnacle , Mount Merrion, County Dublin,  "
2 beds,1 bath,63.19m 2,Terraced House,495000,Dublin," 13 Eden Terrace, Glasthule, Dublin"
4 beds,1 bath,,Terraced House,390000,Dublin 3," 80 Ballybough Road, Ballybough, Dublin 3"
2 beds,2 baths,68m 2,Apartment,295000,Dublin 3," Apartment 13 Brook House, Richmond Road, Fairview, Dublin 3"
3 beds,1 bath,,Terraced House,259950,Dublin 24," 68 Killinarden Estate, Tallaght, Dublin 24"
3 beds,1 bath,,Terraced House,255000,Dublin 24," 97 Ard Mor Drive, Citywest, Dublin 24"
3 beds,3 baths,109m 2,Duplex,280000,County Dublin," 7  Clonuske Drive, Balbriggan, County Dublin"
2 beds,2 baths,85m 2,Duplex,210000,Co. Dublin," 1 Landys Court, Mill Street, Balbriggan, Co. Dublin"
2 beds,2 baths,65m 2,Apartment,250000,Swords," 60 Boroimhe Blackthorn, Co. Dublin, Swords"
3 beds,2 baths,,Terraced House,395000,Dublin 7," 14 Linenhall Parade, Dublon 7, D07, Smithfield, Dublin 7"
4 beds,2 baths,197m 2,Detached House,1375000,Dublin 14," Charter,Butterfield Avenue,Rathfarnham,Dublin 14"
6 beds,3 baths,279m 2,Detached House,1350000,Co. Dublin," Inver, 51 Dundela Park, Sandycove, Co. Dublin"
4 beds,3 baths,152.3m 2,Detached House,825000,County Dublin," 110 Wesbury, Stillorgan,   County Dublin"
4 beds,3 baths,137m 2,Semi-Detached House,795000,County Dublin," 4 Glenomena Park, Booterstown, County Dublin"
2 beds,1 bath,57.81m 2,Semi-Detached House,275000,Dublin 15," 1 Cherryfield Walk, Clonsilla, Dublin 15"
6 beds,2 baths,205m 2,,POA,Dublin 6W," Bella Vista House, Templeogue Mill, Dublin 6W, Templeogue, Dublin 6W"
4 beds,2 baths,198m 2,Bungalow,750000,D13 V2N2," Holly Bay,30 Baldoyle Road,Sutton,Dublin 13,D13 V2N2"
4 beds,3 baths,126m 2,Semi-Detached House,435000,D15 E6K1," 23 Littlepace Park,Littlepace,Clonee,Dublin 15,D15 E6K1"
2 beds,2 baths,655ft 2,Apartment,425000,Dublin 4," 34 The Shrewsbury, Donnybrook Castle, Donnybrook, Dublin 4"
3 beds,1 bath,120m 2,Terraced House,400000,Dublin 3," 13 Seaview Avenue, East Wall, Dublin 3"
2 beds,2 baths,74.5m 2,Terraced House,339000,Chapelizod," 7 Liffey Terrace,St Laurence's Road,Chapelizod"
4 beds,4 baths,140m 2,Terraced House,600000,County Dublin," 2 The Way, Portmarnock, County Dublin"
4 beds,3 baths,174m 2,Terraced House,675000,Dublin 7," 352 North Circular Road,Phibsborough,Dublin 7"
3 beds,1 bath,93m 2,Terraced House,399950,Dublin 3," 36 Saint Mary's Road North, East Wall, Dublin 3"
2 beds,1 bath,70m 2,Apartment,250000,D15 HA25," 1 Thornberry Square,Clonee,Dublin 15,D15 HA25"
1 bed,1 bath,64.3m 2,Terraced House,230000,Dublin 3," 46 Crosbies Yard, North Strand,   Dublin 3"
4 beds,2 baths,121.7m 2,Detached House,650000,County Dublin," 16 Seamount Heights, Malahide,   County Dublin"
2 beds,1 bath,83.7m 2,Apartment,300000,Dublin 5," Apt. 174 THE TIMBER MILL, Block D, Artane, Dublin 5"
2 beds,1 bath,75m 2,Semi-Detached House,350000,Dublin 13," 49 Marian Park, Baldoyle, Dublin 13"
5 beds,1 bath,,Semi-Detached House,695000,D14 W968," 8 Dodder Park Road, Rathfarnham, Dublin 14, D14 W968"
2 beds,2 baths,80m 2,Apartment,480000,Dublin 14," Apartment 26, The Sycamore, Trimbleston, Goatstown, Dublin 14"
1 bed,1 bath,35m 2,Apartment,225000,Dublin 8," 1B Rainsford Avenue, South City Centre - D8, Dublin 8"
1 bed,1 bath,53m 2,Apartment,285000,D14 V328," 8 Roebuck Hall,The Palms,Clonskeagh,Dublin 14,D14 V328"
1 bed,1 bath,50m 2,Apartment,255000,Dublin 8," 24 Ardee Court, Cork Street, South City Centre, Dublin 8"
4 beds,4 baths,360m 2,Detached House,1950000,D18 Y5C2," Pinefield House, Ballyedmonduff Road, Glencullen, Dublin 18, D18 Y5C2"
2 beds,2 baths,73m 2,Apartment,495000,Dublin 2," 8 Gallery Quay, Block 2, Grand Canal Dk, Dublin 2"
2 beds,1 bath,92m 2,Terraced House,390000,Dublin 3," 29 Russell Avenue, Drumcondra, Dublin 3"
3 beds,1 bath,127.5m 2,Semi-Detached House,675000,Dublin 3," 153 Philipsburgh Avenue, Fairview, Dublin 3"
3 beds,2 baths,92.51m 2,Terraced House,495000,Dublin 6W," 28 Mount Argus Park, Harold's Cross,   Dublin 6W"
3 beds,2 baths,117m 2,Semi-Detached House,550000,Dublin 5," 130 Foxfield Park, Raheny, Dublin 5"
1 bed,1 bath,50m 2,Apartment,265000,Dublin 1," 35 Hapenny Bridge House, Lower Ormond Quay, Capel Street, Dublin 1"
3 beds,3 baths,112m 2,Duplex,310000,Co. Dublin," 34 Castlegate Crescent, Adamstown, Lucan, Co. Dublin"
2 beds,1 bath,60m 2,Apartment,159000,Dublin," 19 Trimleston, Balbriggan, Dublin"
2 beds,2 baths,125m 2,Apartment,625000,Dublin 14," 26/27 Crannagh Castle, Crannagh Road, Rathfarnham, Dublin 14"
3 beds,3 baths,130m 2,End of Terrace House,625000,Dublin 18," 4 Fairways Park, Foxrock, Dublin 18"
3 beds,3 baths,132m 2,Semi-Detached House,595000,Dublin 3," 14 Seaview Avenue North, Clontarf, Dublin 3"
4 beds,4 baths,150m 2,End of Terrace House,575000,Dublin 9," 89 HOLLYBANK ROAD, Drumcondra, Dublin 9"
3 beds,3 baths,139m 2,End of Terrace House,450000,Dublin 5," 31 St John's Court, Artane, Dublin 5"
3 beds,2 baths,86.2m 2,Apartment,325000,Dublin 9," 64 LYMEWOOD MEWS, Northwood, Santry, Dublin 9"
,1 bath,50.3m 2,Apartment,295000,Dublin 2," Apt. 3, 19 PARLIAMENT STREET, Temple Bar, Dublin 2"
5 beds,4 baths,325m 2,Detached House,1650000,Co. Dublin," Innisfallen, Dublin Road, Malahide, Co. Dublin"
3 beds,1 bath,88.3m 2,Semi-Detached House,300000,Dublin 15," 19 Willow Wood View, Clonsilla, Dublin 15"
3 beds,1 bath,,Terraced House,369950,Dublin 11," 37 Beneavin Road, Glasnevin, Dublin 11"
5 beds,8 baths,186.18m 2,End of Terrace House,745000,Dublin 9," 77 Botanic Road, Glasnevin, Dublin 9"
3 beds,2 baths,85m 2,House,550000,Dublin 9," 51 CARLINGFORD ROAD, Drumcondra, Dublin 9"
2 beds,2 baths,87.1m 2,Apartment,499000,Dublin 4," 22 Ardoyne House, Pembroke Park, Ballsbridge,   Dublin 4"
2 beds,1 bath,46.1m 2,Apartment,365000,Dublin 6," 10 Courtney House, Appian Way, Ranelagh,   Dublin 6"
3 beds,2 baths,255m 2,Detached House,900000,Dublin 18," Rockfield House, Hillcrest Road , Sandyford,   Dublin 18"
3 beds,2 baths,87m 2,Apartment,400000,Dublin 18," 63 Cluain Shee, Sandyford, Dublin 18"
,,154m 2,Site,295000,D03K886," Mews Lane Site,Rear of 387 Clontarf Road,Clontarf,Dublin 3,D03K886"
1 bed,1 bath,47m 2,Apartment,275000,D03 FK22," 95 Brooklawn,Strandville Avenue,Clontarf,Dublin 3,D03 FK22"
3 beds,1 bath,88m 2,Terraced House,290000,D05 R263," 81 Ballyshannon Road,Kilmore,Dublin 5,D05 R263"
4 beds,3 baths,118m 2,Semi-Detached House,495000,D09XR77," 7 The Park,Beaumont Woods,Beaumont,Dublin 9,D09XR77"
3 beds,1 bath,84m 2,Terraced House,295000,D05 FH52," 7 Kilbarron Drive,Kilmore,Dublin 5,D05 FH52"
2 beds,1 bath,,Terraced House,295000,D03 P822," 32 Elizabeth Street,Drumcondra,Dublin 3,D03 P822"
4 beds,2 baths,121m 2,Semi-Detached House,650000,Dublin 16," 47 Ballyroan Road, Templeogue, Dublin 16"
2 beds,1 bath,67.4m 2,Apartment,315000,Dublin 18," 25 Gleann Na Ri, Druid Valley, Cabinteely, Dublin 18"
5 beds,6 baths,230 - 165m 2,Detached House,775000,County Dublin," The Cottage, Greenwood, Baskin Lane, Kinsealy, County Dublin"
2 beds,1 bath,46.9m 2,Apartment,255000,Dublin 20," 6 Chapel View,Chapelizod,Dublin 20"
,,,Site,600000,County Dublin," Sundrive Road, Rush,   County Dublin"
4 beds,3 baths,120.3m 2,Terraced House,520000,Dublin 16," 15 Dalriada Park, Knocklyon, Dublin 16"
3 beds,1 bath,91m 2,Semi-Detached House,575000,Co. Dublin," 68 Balkill Park, Howth, Co. Dublin"
5 beds,4 baths,414m 2,Detached House,4750000,Dublin 18," Tresillian House, Brighton Road, Foxrock, Dublin 18"
2 beds,2 baths,94.9m 2,Apartment,POA,Dublin," Brookside, Stillorgan Grove, Blackrock, Dublin"
4 beds,4 baths,2500ft 2,Detached House,1450000,County Dublin," Yellowood, 18A Stillorgan Park Avenue, Blackrock, County Dublin"
4 beds,3 baths,217m 2,Detached House,1450000,Dublin 18," Mutiara, 5 Kilgobbin Heights, Stepaside, Dublin 18"
2 beds,2 baths,,Apartment,189950,County Dublin," Apartment 6 Moylaragh View, Balbriggan, County Dublin"
4 beds,4 baths,2500ft 2,Detached House,1450000,County Dublin," Yellowood, 18A Stillorgan Park Avenue, Blackrock, County Dublin"
4 beds,3 baths,217m 2,Detached House,1450000,Dublin 18," Mutiara, 5 Kilgobbin Heights, Stepaside, Dublin 18"
2 beds,2 baths,,Apartment,189950,County Dublin," Apartment 6 Moylaragh View, Balbriggan, County Dublin"
5 beds,4 baths,,Detached House,950000,Dublin 15," 7 Park Manor, Castleknock,   Dublin 15"
3 beds,2 baths,91m 2,Semi-Detached House,370000,County Dublin," 34 Castleview Drive, Swords, County Dublin"
8 beds,8 baths,246m 2,Terraced House,995000,Dublin 6," 10 Richmond Hill , Rathmines, Dublin 6"
3 beds,1 bath,80m 2,Terraced House,330000,County Dublin," 5 The Park, Melrose Park, Kinsealy, County Dublin"
3 beds,3 baths,99m 2,End of Terrace House,340000,Co. Dublin," 18 Griffeen Glen Boulevard, Lucan, Co. Dublin"
3 beds,1 bath,110m 2,Terraced House,595000,Dublin 7," 35 St. Peters Road, Phibsboro,   Dublin 7"
3 beds,2 baths,,Apartment,GuidePrice265000,Ashtown," Apartment 8, Discovery Building, Royal Canal Park, Dublin 15, Ashtown"
,1 bath,,Semi-Detached House,GuidePrice150000,Stepaside," Bayview, Barnacullia, (Folios DNF & DN1132), Dublin 18, Stepaside"
2 beds,2 baths,75m 2,Apartment,270000,Dublin 17," Apartment 219 Burnell Square Mayne River Avenue Malahide Road Northern Cross, Northern Cross,   Dublin 17"
1 bed,1 bath,55m 2,Apartment,300000,Dublin," 1 Waveney House, Howth, Dublin"
4 beds,2 baths,125m 2,Semi-Detached House,645000,Dublin 14," 1 Dargle Drive, Marley Grange, Rathfarnham, Dublin 14"
2 beds,2 baths,76m 2,Apartment,550000,Co. Dublin," 52 Woodview, Mount Merrion Avenue, Blackrock, Co. Dublin"
3 beds,3 baths,,Duplex,320000,Dublin 15," 36 Latchford Square, Clonee,   Dublin 15"
1 bed,1 bath,35m 2,Terraced House,265000,Dublin 7," 40 Kirwan Street Cottages, Stoneybatter, Dublin 7"
2 beds,2 baths,75m 2,End of Terrace House,395000,Dublin," 1 The Mews Ballbriggan Street, Skerries, Dublin"
4 beds,3 baths,155.47m 2,Detached House,795000,County Dublin," 17 Strand Road, Portmarnock,   County Dublin"
4 beds,2 baths,110m 2,Semi-Detached House,650000,D16 Y2F5," 4 College Park Avenue,Ballinteer,Dublin 16,D16 Y2F5"
4 beds,2 baths,110m 2,Semi-Detached House,650000,D16 Y2F5," 4 College Park Avenue,Ballinteer,Dublin 16,D16 Y2F5"
3 beds,1 bath,146m 2,Terraced House,450000,Dublin 1," 36 Summer Street North, North Circular Road, Dublin 1"
3 beds,1 bath,85m 2,Semi-Detached House,475000,Dublin 7," 100 Newgrange Road, Cabra, Dublin 7"
5 beds,4 baths,613m 2,Detached House,1350000,County Dublin," Brookville, Hazelbrook, Malahide, County Dublin"
