,bed,bath,cube,home,price,area,address,latitude,longitude
0,1,1,39,Studio,1400,D07 Y2H2,"7 St Attracta Rd, Cabra East, Dublin 7, D07 R898, Ireland",53.3641303,-6.2823248
1,2,2,86,Apartment,2400,D15K2CW,"Ashtown, Dublin, Ireland",53.3764326,-6.332588599999999
2,1,,,Studio,1200,D15 C1HD,"6 Ballentree Villas, Tyrrelstown, Dublin 15, D15 C1HD, Ireland",53.4170476,-6.3851727
3,2,1,,Semi-Detached,950,Dublin 24,"Citywest Rd, Citywest, Dublin, Ireland",53.2785495,-6.4181215
4,2,2,,Apartment,3500,Dublin 18,"Apartment 24, Hollybrook, Brighton Rd, Kerrymount, Dublin 18, Ireland",53.2641044,-6.1812128
5,2,1,85,Apartment,2500,Dublin 4,"11 Dock Mill, Barrow Street, Dublin 4, Co. Dublin, Ireland",53.3404057,-6.2370888
6,3,3,,Apartment,2180,Dublin 15,"Ongar House, Ongar Square, Ongar Village, Clonsilla, Dublin 15, D15 X6XK, Ireland",53.395096,-6.438390099999999
7,2,2,877,Apartment,2700,Dublin 6W,"Mount Tallant Ave, Terenure, Dublin, Ireland",53.3162269,-6.2815794
8,2,2,,Apartment,1900,Dublin 16,"16 Ballintyre Walk, Ballinteer, Dublin 16, D16 X520, Ireland",53.2739611,-6.2530382
9,3,1,,Terraced House,2200,Dublin 22,"22 Cherrywood Park, Fairview, Dublin 22, D22 DC53, Ireland",53.3176978,-6.4152185
10,2,2,80,Apartment,2200,D18 Y535,"One Beacon, Beacon Court, Sandyford, Dublin, Co. Dublin, Ireland",53.276225,-6.2207062
11,1,1,32ft 2,Apartment,1200,D07V6V9,"345 Navan Rd, Ashtown, Dublin 7, D07 V6V9, Ireland",53.36973589999999,-6.3238141
12,2,1,,House,2950,Dublin 8,"St. James's Gate, Saint Catherine's, Dublin 8, D08 VF8H, Ireland",53.341978,-6.2867111
13,2,1,,Apartment,2595,Dublin,"6 Tivoli Terrace N, Dún Laoghaire, Dublin, A96 A438, Ireland",53.2908454,-6.141571099999999
14,1,1,,Apartment,1530,Dublin 1,"Rotunda, Dublin 1, D01 N528, Ireland",53.3514264,-6.2640812
15,5,4,436,Semi-Detached,15000,County Dublin,"Dunamara, Strand Rd, Hackettsland, Killiney, Co. Dublin, Ireland",53.25099729999999,-6.1128608
16,1,1,,Apartment,292,Dublin,"123 Summerhill, Mountjoy, Dublin, D01 TY46, Ireland",53.3548925,-6.2557085
17,1,1,,Apartment,263,Dublin,"123 Summerhill, Mountjoy, Dublin, D01 TY46, Ireland",53.3548925,-6.2557085
18,1,1,,Apartment,251,Dublin,"123 Summerhill, Mountjoy, Dublin, D01 TY46, Ireland",53.3548925,-6.2557085
19,3,2,,House,4000,County Dublin,"Pembroke, 7 Mounttown Lower, Glenageary, Monkstown, Co. Dublin, A96 T3K6, Ireland",53.2878905,-6.1451752
20,3,1,,Terraced House,2900,Dublin 6W,"6 Fergus Rd, Terenure, Dublin 6W, Co. Dublin, D6W PR99, Ireland",53.3083973,-6.2858581
21,4,3,174,Detached,3700,County Dublin,"26 Newtownpark Ave, Holly Park Ave, Blackrock, Co. Dublin, A94 PX32, Ireland",53.2810839,-6.176188
22,3,2,1100ft 2,Apartment,3500,Dublin 2,"2 Charlemont Ln, Clontarf, Dublin, Ireland",53.3644415,-6.225
23,2,2,,Apartment,2014,Dublin,"Millrace Rd, Ashtown, Dublin, Ireland",53.37272309999999,-6.3360501
24,2,2,106,Apartment,4000,Dublin 4,"Lansdowne Rd, Dublin, Ireland",53.3331103,-6.2328706
25,1,1,,Terraced House,1500,Dublin 14,"Goatstown Cottages, 1 Goatstown Rd, Mountanville, Dublin 14, D14 X6T0, Ireland",53.29296369999999,-6.229421299999999
26,1,1,,Terraced House,1800,Dublin 14,"Goatstown Cottages, 1 Goatstown Rd, Mountanville, Dublin 14, D14 X6T0, Ireland",53.29296369999999,-6.229421299999999
27,6,4,450,Detached,14000,County Dublin,"Saintbury Ave, Killiney, Dublin, Ireland",53.2582894,-6.117935699999999
28,1,1,,Apartment,1500,Dublin 20,"Mill Race, Martin's Row, Chapelizod, Dublin 20, Ireland",53.3498649,-6.345567099999999
29,3,2,,Apartment,2000,Dublin 24,"Marlfield Lawn, Kiltipper, Dublin, Ireland",53.2707002,-6.3698831
30,3,1,,Apartment,2142,Dublin 8,"Longmeadows Apartments, Conyngham Rd, Saint James' (part of Phoenix Park), Dublin 8, Ireland",53.3479593,-6.3001434
31,3,2,100,Apartment,4645,Dublin 1,"Quayside Quarter, Dublin Landings, 76 N Wall Quay, North Dock, Dublin 1, Ireland",53.3471988,-6.2326983
32,2,1,,Semi-Detached,1600,Dublin 22,"22 Rowlagh Ave, Ronanstown, Dublin 22, D22 C9E2, Ireland",53.3430362,-6.4040292
33,6,6,,Semi-Detached,16000,Dublin 4,"4 Merrion Court, Ailesbury Rd, Ballsbridge, Dublin, D04 YX65, Ireland",53.3202875,-6.214413599999999
34,2,2,,Apartment,2188,Dublin,"Galloping Green, Stillorgan Rd, Galloping Green North, Blackrock, Co. Dublin, Ireland",53.2799235,-6.1860366
35,2,2,,Apartment,2995,Dublin,"The Dickens Gasworks, S Lotts Rd, Dublin, Co. Dublin, 4, Ireland",53.33861899999999,-6.2346751
36,2,2,,Apartment,2300,Dublin 18,"Apartment 10, El Pinar, Kilgobbin Rd, Sandyford, Dublin 18, Ireland",53.265958,-6.2169175
37,1,1,,Studio,1422,Dublin,"Derry Avin, N Circular Rd, Stoneybatter, Dublin 7, Ireland",53.35368450000001,-6.2952638
38,3,2,,Terraced House,2650,Dublin 3,"St Mary's Rd, North Dock, Dublin, Ireland",53.3539055,-6.236366200000001
39,2,2,,Apartment,1890,Dublin 9,"9 St Alphonsus' Rd Upper, Botanic, Dublin, Ireland",53.36551619999999,-6.262212799999999
40,2,2,83,Apartment,3245,Dublin 1,"Quayside Quarter, Dublin Landings, 76 N Wall Quay, North Dock, Dublin 1, Ireland",53.3471988,-6.2326983
41,1,1,55,Apartment,1900,Dublin 4,"4 Percy Pl, Ballsbridge, Dublin 4, D04 V9T3, Ireland",53.33589869999999,-6.2424387
42,5,5,320,House,15000,Dublin 4,"4 Wellington Rd, Ballsbridge, Dublin, D04 A443, Ireland",53.3312463,-6.2402731
43,3,2,92,Apartment,3925,Dublin 2,"41 Forbes St, Grand Canal Dock, Dublin 2, Ireland",53.3453664,-6.2384166
44,5,3,175,Detached,4500,Dublin 6,"22 Palmerston Grove, Rathmines, Dublin 6, D06 K2W1, Ireland",53.3165388,-6.2416049
45,5,5,,Detached,14950,Dublin,"Castle Park Rd, Dalkey, Dublin, Ireland",53.2840356,-6.1120133
46,2,2,,Apartment,4200,Dublin,"Marine Rd, Dún Laoghaire, Dublin, Ireland",53.2940124,-6.1337128
47,6,4,,Semi-Detached,8950,Dublin,"Tivoli Terrace N, Dún Laoghaire, Dublin, Ireland",53.2906957,-6.142044100000001
48,5,5,8000ft 2,Detached,8950,Dublin,"Malahide, Co. Dublin, Ireland",53.4470841,-6.1534658
49,3,2,,Detached,4200,Dublin 8,"17 Synge St, Saint Kevin's, Dublin 8, D08 XV74, Ireland",53.332958,-6.2672102
50,2,2,,Terraced House,2600,Dublin 2,"83 Merrion Square S, Dublin 2, D02 R299, Ireland",53.3393522,-6.251456999999999
51,2,,,Apartment,1790,Dublin,"46 Middle Abbey St, North City, Dublin 1, D01 Y273, Ireland",53.34785660000001,-6.2630553
52,2,2,,Terraced House,2555,Dublin 4,"4, Brookvale, Brookvale Rd, Rathmines, Dublin 4, Ireland",53.3178593,-6.234846399999999
53,1,1,,Apartment,735,Dublin 4,"4 Northumberland Pl, Dublin, D04 F3F8, Ireland",53.3376128,-6.2381632
54,3,3,125,Apartment,1295,Dublin,"2 Hanover St E, Dublin Docklands, Dublin 2, D02 E860, Ireland",53.344184,-6.241160799999999
55,1,1,,Studio,515,Dublin 2,"70 Grafton Street, Dublin, Ireland",53.3411515,-6.2606356
56,1,1,,Studio,475,Dublin 2,"70 Grafton Street, Dublin, Ireland",53.3411515,-6.2606356
57,1,1,23,Studio,375,Dublin 2,"83 Merrion Square S, Dublin 2, D02 R299, Ireland",53.3393522,-6.251456999999999
58,1,1,35,Studio,415,Dublin 2,"83 Merrion Square S, Dublin 2, D02 R299, Ireland",53.3393522,-6.251456999999999
59,1,1,50,Apartment,525,Dublin 2,"83 Merrion Square S, Dublin 2, D02 R299, Ireland",53.3393522,-6.251456999999999
60,1,1,,Studio,575,Dublin 2,"Leeson Street Lower & Hatch Street Lower, Saint Kevin's, Dublin, Ireland",53.3344065,-6.255243999999999
61,3,2,,Apartment,895,Dublin 1,"1 Mayor Street Lower, Dublin Docklands, Dublin, Ireland",53.3496963,-6.2454128
62,1,1,30,Studio,925,Dublin,"Garter Ln, Saggart, Co. Dublin, D24 PKF1, Ireland",53.28603409999999,-6.4500395
63,1,,,Apartment,277,Dublin,"Cork St, The Liberties, Dublin, D08 P772, Ireland",53.3378874,-6.2833016
64,1,1,13.7,Apartment,256,Dublin,"Bonham St, Saint Catherine's, Dublin 8, D08 R596, Ireland",53.3449253,-6.2832029
65,1,1,13.7,Apartment,267,Dublin,"Bonham St, Saint Catherine's, Dublin 8, D08 R596, Ireland",53.3449253,-6.2832029
66,1,1,14.9,Apartment,277,Dublin,"Bonham St, Saint Catherine's, Dublin 8, D08 R596, Ireland",53.3449253,-6.2832029
67,1,1,,Apartment,287,Dublin,"Bonham St, Saint Catherine's, Dublin 8, D08 R596, Ireland",53.3449253,-6.2832029
68,3,1,,Semi-Detached,2500,Dublin 14,"12 Roebuck Castle, Roebuck, Dublin 14, D14 EY18, Ireland",53.3021299,-6.2259164
69,3,3,1590ft 2,Detached,3750,Dublin,"Vernon Mews, Clontarf, Dublin, Ireland",53.36098459999999,-6.1963832
70,5,2,,Apartment,3000,County Dublin,"The Grange, Co. Dublin, Ireland",53.5152929,-6.2783433
71,2,2,898ft 2,Apartment,2750,Dublin 2,"83 Merrion Square S, Dublin 2, D02 R299, Ireland",53.3393522,-6.251456999999999
72,3,2,1100ft 2,Apartment,3500,Dublin 2,"2 Charlemont Ln, Clontarf, Dublin, Ireland",53.3644415,-6.225
73,3,3,,,6500,Dublin,"Park Ave, Dublin, Ireland",53.3252007,-6.2129281
74,2,2,,Apartment,1907,Dublin 14,"Apartment 125, The Elm, Charleville Square, Rathfarnham, Dublin 14, D14 HT04, Ireland",53.2950945,-6.2943582
75,2,2,,Apartment,2100,County Dublin,"S Wall, Poolbeg, Dublin, Ireland",53.3421053,-6.151324499999999
76,,1,,Studio,1021,Dublin 3,"Flat 2, 106 Philipsburgh Ave, Clontarf West, Dublin, D03 CD96, Ireland",53.3673253,-6.2397388
77,2,1,,Apartment,1875,Dublin 10,"10 Le Fanu Rd, Drumfinn, Dublin, Ireland",53.3449858,-6.354513
78,4,3,,House,5500,Dublin,"10 Mountpleasant Square, Ranelagh, Dublin 6, D06 VC03, Ireland",53.3280062,-6.2599478
79,5,5,,House,7100,Dublin,"37 Woodlands Park, Stillorgan, Dublin, A94 KX81, Ireland",53.2963433,-6.199554
80,5,5,,House,7100,County Dublin,"43A Woodlands Park, Stillorgan, Dublin, A94 FW25, Ireland",53.2966188,-6.1974309
81,1,2,,Apartment,1500,Dublin 16,"84 Dargle Wood, Ballyroan, Dublin 16, D16 WY95, Ireland",53.2819115,-6.312943
82,2,2,,Apartment,2325,Dublin 6W,"Harold's Cross Rd, Rathmines, Dublin, Ireland",53.3258208,-6.276913599999999
